Column,Type,Constraints / Attributes,Description,Example
id,String,"Primary Key, Default: UUID",Unique identifier for the ticket,a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d
ticketNumber,String,"Unique, Required",Autogenerated unique reference code,EQ001
customerId,String,"Optional, Foreign Key",Link to customer record,f9b5c3e4-8a12-4d8b-b9f1-a75d3fcd84c2
currentStage,String,Required,"Pipeline stage: ENQUIRY, REFILLING, SERVICES, COMPLETED",ENQUIRY
currentStatus,String,Required,"Status detail (e.g. Order Delivered, Pending)",Order Delivered
itemDescription,String,Optional,Description of cylinder or site assets,ABC Fire Extinguisher 9kg
serialNumber,String,Optional,Cylinder barcode/cylinder tag number,CYL-99823
capacity,String,Optional,Size weight capacity (e.g. 9 Kg),9 Kg
extinguisherType,String,Optional,"Asset type (e.g. CO2, DCP)",DCP
requirementCategory,String,Optional,"Work category (e.g. CCTV, Refilling)",Refilling
enquirySource,String,Optional,"Lead source (e.g. Walk-in, Social Media)",Social Media
requirementDetails,String,Optional,Details of what client requests,Refill 4 DCP cylinders
requestedDeliveryDate,DateTime,Optional,Customer delivery date,2026-07-20T10:00:00Z
followUpDate,DateTime,Optional,Scheduled follow-up date,2026-07-16T12:00:00Z
latestFollowUpNotes,String,Optional,Latest follow-up notes,Wants a quotation
deliveredDate,DateTime,Optional,Delivery confirmation timestamp,2026-07-15T15:30:00Z
amcYears,Int,Optional,Years of AMC coverage,2
amcDate,DateTime,Optional,Calculated AMC expiry date,2028-07-15T15:30:00Z
scheduledVisitDate,DateTime,Optional,Date of technician visit,2026-07-15T09:00:00Z
adminNotes,String,Optional,Instructions logged by back-office staff,Verify pressure gauge
technicianNotes,String,Optional,Report comments logged by technician,Valve was replaced
locationCoordinates,String,Optional,Map URL or coordinates,"https://maps.google.com/?q=12,80"
assignmentType,String,"Optional, Default: DELIVERY",Purpose of technician assignment,DELIVERY
stageData,String,Optional,Serialized dynamic fields JSON doc,"{""pressureTestPassed"":true}"
createdAt,DateTime,Default: now(),Timestamp of ticket creation,2026-07-14T10:00:00Z
updatedAt,DateTime,Automatic update,Timestamp of last update,2026-07-14T10:45:00Z
deletedAt,DateTime,Optional,Timestamp for soft deletion,null
