Column,Type,Constraints / Attributes,Description,Example
id,String,"Primary Key, Default: UUID",Unique history log ID,h1i2j3k4-l5m6-7n8o-9p0q-1r2s3t4u5v6w
ticketId,String,"Required, Foreign Key (Ticket), Cascade delete",Associated ticket ID,a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d
changedById,String,"Required, Foreign Key (Employee)",User ID who made the change,d4b8e3a2-7f12-4c8d-b9ea-b65f3fcd84c6
fromStage,String,Optional,Ticket stage before modification,ENQUIRY
toStage,String,Optional,Ticket stage after modification,REFILLING
fromStatus,String,Optional,Ticket status before modification,Order Delivered
toStatus,String,Optional,Ticket status after modification,Refilling Order Received
remarks,String,Optional,Context details on transition trigger,Stage transitioned by Admin
createdAt,DateTime,Default: now(),Transition log date,2026-07-14T10:45:00Z
deletedAt,DateTime,Optional,Soft-delete timestamp,null
